customer_id,bill_id,amount_billed,date_due,date_paid
customer_1,bill_2021-10-01,9969,2021-10-10,2021-10-10
customer_1,bill_2021-07-01,16814,2021-07-10,2021-07-11
customer_1,bill_2021-02-01,8511,2021-02-10,2021-02-14
customer_2,bill_2021-11-01,10746,2021-11-10,2021-11-27
customer_2,bill_2021-10-01,15953,2021-10-10,2021-10-29
customer_2,bill_2021-09-01,18334,2021-09-10,2021-10-01
customer_2,bill_2021-08-01,18405,2021-08-10,2021-08-30
customer_2,bill_2021-06-01,5918,2021-06-10,2021-06-29
customer_2,bill_2021-05-01,16919,2021-05-10,2021-05-25
customer_2,bill_2021-07-01,17414,2021-07-10,2021-07-21
customer_2,bill_2021-03-01,11617,2021-03-10,2021-03-09
customer_2,bill_2021-04-01,9282,2021-04-10,2021-04-11
customer_2,bill_2021-01-01,12212,2021-01-10,2021-01-05
customer_2,bill_2020-12-01,12743,2020-12-10,2020-12-05
customer_2,bill_2020-11-01,2180,2020-11-10,2020-11-05
customer_3,bill_2021-11-01,17187,2021-11-10,2021-11-04
customer_3,bill_2021-10-01,13334,2021-10-10,2021-10-27
customer_3,bill_2021-08-01,8196,2021-08-10,2021-08-23
customer_3,bill_2021-09-01,3303,2021-09-10,2021-09-14
customer_3,bill_2021-07-01,4585,2021-07-10,2021-07-12
customer_3,bill_2021-05-01,2098,2021-05-10,2021-05-03
customer_3,bill_2021-03-01,15137,2021-03-10,2021-03-06
customer_3,bill_2020-11-01,9419,2020-11-10,2020-11-18
customer_3,bill_2020-08-01,2070,2020-08-10,2020-08-31
customer_4,bill_2021-11-01,1937,2021-11-10,2021-11-10
customer_4,bill_2021-10-01,4982,2021-10-10,2021-10-15
customer_4,bill_2021-09-01,2488,2021-09-10,2021-09-03
customer_4,bill_2021-07-01,6812,2021-07-10,2021-07-07
customer_4,bill_2021-05-01,11786,2021-05-10,2021-05-11
customer_4,bill_2021-03-01,10741,2021-03-10,2021-03-03
customer_4,bill_2021-04-01,4095,2021-04-10,2021-04-13
customer_4,bill_2021-08-01,6721,2021-08-10,2021-08-27
customer_4,bill_2021-02-01,1520,2021-02-10,2021-02-10
customer_4,bill_2021-01-01,4386,2021-01-10,2021-01-07
customer_5,bill_2021-06-01,9500,2021-06-10,2021-06-16
customer_5,bill_2021-02-01,4900,2021-02-10,2021-02-17
customer_5,bill_2021-01-01,13360,2021-01-10,2021-01-12
customer_5,bill_2020-12-01,3360,2020-12-10,2020-12-10
customer_5,bill_2020-02-01,8432,2020-02-10,2020-02-17
customer_6,bill_2021-10-01,5072,2021-10-10,2021-10-08
customer_6,bill_2021-09-01,6150,2021-09-10,2021-09-08
customer_6,bill_2021-07-01,3278,2021-07-10,2021-07-12
customer_8,bill_2021-10-01,10301,2021-10-10,2021-11-18
customer_8,bill_2021-04-01,4440,2021-04-10,2021-05-21
customer_8,bill_2021-03-01,2770,2021-03-10,2021-04-20
customer_11,bill_2021-11-01,689,2021-11-10,2022-01-12
customer_11,bill_2020-11-01,2150,2020-11-10,2020-11-09
customer_12,bill_2021-10-01,2424,2021-10-10,2021-10-17
customer_12,bill_2020-11-01,2073,2020-11-10,2020-11-11
customer_12,bill_2020-09-01,0,2020-09-10,2020-08-31
customer_12,bill_2020-05-01,1816,2020-05-10,2020-05-10
customer_12,bill_2020-04-01,1898,2020-04-10,2020-04-07
customer_12,bill_2020-03-01,2525,2020-03-10,2020-03-10
customer_13,bill_2021-11-01,4191,2021-11-10,2021-11-25
customer_13,bill_2021-10-01,2300,2021-10-10,2021-10-31
customer_13,bill_2021-08-01,5500,2021-08-10,2021-08-29
customer_13,bill_2021-07-01,2500,2021-07-10,2021-07-14
customer_13,bill_2021-06-01,3500,2021-06-10,2021-06-30
customer_13,bill_2021-05-01,1415,2021-05-10,2021-05-07
customer_13,bill_2020-07-01,12704,2020-07-10,2020-07-22
customer_13,bill_2021-04-01,3000,2021-04-10,2021-05-07
customer_13,bill_2020-12-01,4500,2020-12-10,2021-02-25
customer_13,bill_2021-03-01,3000,2021-03-10,2021-03-25
customer_13,bill_2020-10-01,5500,2020-10-10,2020-11-25
