customer_id,bill_id,amount_billed,date_due,date_paid
customer_1,bill_2021-12-01,3480,2021-12-10,2022-01-10
customer_2,bill_2021-12-01,20635,2021-12-10,2022-01-10
customer_3,bill_2021-12-01,33078,2021-12-10,2022-01-10
customer_4,bill_2021-12-01,6515,2021-12-10,2021-12-16
customer_5,bill_2021-12-01,13518,2021-12-10,2021-12-16
customer_6,bill_2021-12-01,5072,2021-12-10,2022-02-07
customer_7,bill_2021-12-01,28000,2021-12-10,2022-01-26
customer_8,bill_2021-12-01,5647,2021-12-10,2022-01-21
customer_9,bill_2021-12-01,11499,2021-12-10,2022-01-21
customer_10,bill_2021-12-01,2860,2021-12-10,2022-01-07
customer_11,bill_2021-12-01,984,2021-12-10,2022-01-20
customer_12,bill_2021-12-01,3778,2021-12-10,2021-12-20
customer_13,bill_2021-12-01,3284,2021-12-10,2022-01-14
customer_14,bill_2021-12-01,7840,2021-12-10,2021-12-19
customer_15,bill_2021-12-01,1098,2021-12-10,2022-01-11
customer_16,bill_2021-12-01,5673,2021-12-10,2021-12-21
customer_17,bill_2021-12-01,5038,2021-12-10,2021-12-24
customer_18,bill_2021-12-01,900,2021-12-10,2021-12-16
customer_19,bill_2021-12-01,660,2021-12-10,2022-01-07
customer_20,bill_2021-12-01,3150,2021-12-10,2022-01-10
customer_21,bill_2021-12-01,2241,2021-12-10,2021-12-20
customer_22,bill_2021-12-01,8620,2021-12-10,
customer_23,bill_2021-12-01,4134,2021-12-10,2021-12-30
customer_24,bill_2021-12-01,7349,2021-12-10,2021-12-16
customer_25,bill_2021-12-01,3680,2021-12-10,2021-12-25
customer_26,bill_2021-12-01,6000,2021-12-10,2022-03-23
customer_27,bill_2021-12-01,4935,2021-12-10,2022-03-25
customer_28,bill_2021-12-01,12075,2021-12-10,
customer_29,bill_2021-12-01,1069,2021-12-10,2021-12-17
customer_30,bill_2021-12-01,21918,2021-12-10,2021-12-23
customer_31,bill_2021-12-01,32066,2021-12-10,2021-12-18
customer_32,bill_2021-12-01,1028,2021-12-10,2022-03-25
customer_33,bill_2021-12-01,21531,2021-12-10,2021-12-20
customer_34,bill_2021-12-01,5801,2021-12-10,2022-01-07
customer_35,bill_2021-12-01,6631,2021-12-10,2021-12-21
customer_36,bill_2021-12-01,5250,2021-12-10,2021-12-19
customer_37,bill_2021-12-01,5666,2021-12-10,2022-01-26
customer_38,bill_2021-12-01,1078,2021-12-10,2022-01-01
customer_39,bill_2021-12-01,978,2021-12-10,2022-01-10
customer_40,bill_2021-12-01,2000,2021-12-10,2021-12-16
customer_41,bill_2021-12-01,13580,2021-12-10,2021-12-16
customer_42,bill_2021-12-01,3660,2021-12-10,2021-12-27
customer_43,bill_2021-12-01,3300,2021-12-10,2021-12-21
customer_44,bill_2021-12-01,1957,2021-12-10,2021-12-17
customer_45,bill_2021-12-01,1000,2021-12-10,
customer_46,bill_2021-12-01,1000,2021-12-10,2022-03-25
customer_47,bill_2021-12-01,15973,2021-12-10,2021-12-17
customer_48,bill_2021-12-01,16500,2021-12-10,2022-01-20
customer_49,bill_2021-12-01,3340,2021-12-10,2022-01-20
