customer_id,date_account_opened,gender
customer_1,2021-01-05,Male
customer_2,2020-10-13,Male
customer_3,2017-12-30,Female
customer_4,2020-12-04,Male
customer_5,2017-07-03,Male
customer_6,2021-06-08,Male
customer_7,2021-11-07,Male
customer_8,2021-02-15,Female
customer_9,2021-11-22,Male
customer_10,2021-11-04,Female
customer_11,2020-10-15,Male
customer_12,2018-05-18,Female
customer_13,2020-03-09,Female
customer_14,2021-11-02,Female
customer_15,2021-09-30,Male
customer_16,2016-09-07,Female
customer_17,2020-12-27,Male
customer_18,2021-11-07,Female
customer_19,2021-11-17,Male
customer_20,2021-06-03,Female
customer_21,2021-11-26,Female
customer_22,2021-10-27,Female
customer_23,2019-05-30,Male
customer_24,2021-11-26,Male
customer_25,2021-08-19,Male
customer_26,2021-07-23,Male
customer_27,2020-08-16,Male
customer_28,2021-11-02,Male
customer_29,2021-01-06,Male
customer_30,2018-03-02,Male
customer_31,2019-12-06,Female
customer_32,2021-11-25,Male
customer_33,2021-06-01,Female
customer_34,2016-09-28,Female
customer_35,2017-08-08,Female
customer_36,2017-08-30,Female
customer_37,2021-11-18,Female
customer_38,2021-11-10,Female
customer_39,2021-11-25,Male
customer_40,2021-06-06,Male
customer_41,2020-06-22,Male
customer_42,2021-11-13,Female
customer_43,2021-11-15,Male
customer_44,2018-08-29,Male
customer_45,2021-10-18,Female
customer_46,2020-06-20,Male
customer_47,2021-03-04,Female
customer_48,2021-11-13,Female
customer_49,2021-11-04,Female
customer_50,2021-11-26,Male
customer_51,2018-10-31,Male
customer_52,2020-11-20,Female
customer_53,2020-05-05,Female
customer_54,2021-09-21,Female
customer_55,2016-03-09,Male
customer_56,2021-06-26,Male
customer_57,2021-11-15,Female
customer_58,2021-11-02,Female
customer_59,2021-11-18,Female
customer_60,2021-06-28,Female
customer_61,2021-11-01,Female
customer_62,2018-07-23,Female
customer_63,2020-12-30,Female
customer_64,2021-10-27,Female
customer_65,2019-04-11,Male
customer_66,2018-07-18,Female
customer_67,2021-02-03,Male
customer_68,2021-11-28,Female
customer_69,2021-10-31,Female
customer_70,2021-11-21,Male
customer_71,2015-12-26,Female
customer_72,2021-11-02,Female
customer_73,2018-10-01,Female
customer_74,2021-04-25,Female
customer_75,2021-11-18,Female
customer_76,2021-03-30,Male
customer_77,2021-11-12,Male
customer_78,2020-07-27,Male
customer_79,2021-11-18,Female
customer_80,2021-11-04,Female
customer_81,2021-04-21,Female
customer_82,2021-11-12,Male
customer_83,2021-11-19,Male
customer_84,2021-11-20,Male
customer_85,2017-03-09,Female
customer_86,2021-11-20,Female
customer_87,2021-11-24,Male
customer_88,2021-11-29,Female
customer_89,2020-05-14,Female
customer_90,2021-11-10,Female
customer_91,2020-08-21,Female
customer_92,2017-07-10,Female
customer_93,2018-10-21,Male
customer_94,2020-04-29,Female
customer_95,2017-04-25,Male
customer_96,2020-09-14,Female
customer_97,2018-07-05,Female
customer_98,2021-08-08,Male
customer_99,2021-11-14,Female
customer_100,2021-11-02,Male
customer_101,2016-10-21,Male
customer_102,2021-03-11,Female
customer_103,2021-11-26,Male
customer_104,2021-11-03,Female
customer_105,2021-11-17,Male
customer_106,2021-11-27,Female
customer_107,2021-11-06,Female
customer_108,2019-01-04,Female
customer_109,2019-01-25,Male
customer_110,2021-11-17,Female
customer_111,2020-12-02,Female
customer_112,2021-08-18,Female
customer_113,2018-03-22,Female
customer_114,2021-11-02,Male
customer_115,2020-03-09,Male
customer_116,2021-11-10,Male
customer_117,2020-06-15,Male
customer_118,2021-10-13,Female
customer_119,2019-03-19,Female
customer_120,2021-10-12,Male
customer_121,2020-05-14,Female
customer_122,2021-11-01,Female
customer_123,2021-11-16,Female
customer_124,2018-08-06,Male
customer_125,2021-11-28,Female
customer_126,2019-08-22,Male
customer_127,2020-10-23,Female
customer_128,2020-12-23,Male
customer_129,2021-11-27,Female
customer_130,2021-11-30,Female
customer_131,2021-05-22,Female
customer_132,2021-11-18,Female
customer_133,2020-11-18,Female
customer_134,2021-07-09,Male
customer_135,2021-11-04,Male
customer_136,2021-08-20,Female
customer_137,2021-11-01,Male
customer_138,2021-11-29,Male
customer_139,2021-03-09,Female
customer_140,2021-11-29,Female
customer_141,2021-11-17,Female
customer_142,2019-10-16,Female
customer_143,2020-01-03,Female
customer_144,2019-06-13,Female
customer_145,2020-08-14,Female
customer_146,2021-02-01,Female
customer_147,2020-11-06,Male
customer_148,2021-11-11,Female
customer_149,2021-11-17,Male
customer_150,2020-04-26,Male
customer_151,2021-11-28,Male
customer_152,2021-11-22,Male
customer_153,2021-11-17,Female
customer_154,2021-09-13,Female
customer_155,2021-09-11,Male
customer_156,2018-04-01,Male
customer_157,2021-11-10,Male
customer_158,2021-11-18,Female
customer_159,2021-02-12,Female
customer_160,2021-08-08,Male
customer_161,2021-02-19,Male
customer_162,2021-11-04,Male
customer_163,2021-11-17,Female
customer_164,2021-10-02,Female
customer_165,2021-11-26,Male
customer_166,2019-10-28,Male
customer_167,2021-04-24,Female
customer_168,2021-11-22,Female
customer_169,2021-11-19,Female
customer_170,2016-09-08,Male
customer_171,2021-10-26,Female
customer_172,2021-10-29,Female
customer_173,2021-10-31,Male
customer_174,2017-03-28,Male
customer_175,2020-12-28,Male
customer_176,2019-11-10,Female
customer_177,2019-02-14,Female
customer_178,2021-11-12,Male
customer_179,2021-11-16,Female
customer_180,2019-02-23,Female
customer_181,2020-06-06,Male
customer_182,2021-11-24,Male
customer_183,2021-05-26,Female
customer_184,2020-10-08,Male
customer_185,2021-08-09,Male
customer_186,2019-12-08,Male
customer_187,2021-06-26,Male
customer_188,2020-08-14,Male
customer_189,2021-11-27,Female
customer_190,2016-11-06,Female
customer_191,2021-09-27,Female
customer_192,2020-06-24,Female
customer_193,2021-10-22,Male
customer_194,2021-11-25,Female
customer_195,2017-09-30,Female
customer_196,2021-11-22,Male
customer_197,2021-11-12,Male
customer_198,2016-05-13,Male
customer_199,2021-11-14,Male
customer_200,2021-11-15,Male
customer_201,2021-11-02,Female
customer_202,2017-03-05,Female
customer_203,2021-11-13,Male
customer_204,2017-03-01,Male
customer_205,2021-11-12,Female
customer_206,2021-11-21,Female
customer_207,2021-11-15,Male
customer_208,2021-07-26,Female
customer_209,2021-11-13,Male
customer_210,2019-09-19,Male
customer_211,2021-11-20,Female
