,customer_id
51,customer_101
97,customer_1023
144,customer_1026
148,customer_1027
211,customer_1045
223,customer_1049
239,customer_1051
270,customer_1059
303,customer_1068
380,customer_1084
382,customer_1086
414,customer_1096
419,customer_1098
521,customer_1118
581,customer_113
604,customer_1133
605,customer_1133
626,customer_1134
696,customer_1146
697,customer_1146
698,customer_1147
719,customer_1154
860,customer_1175
891,customer_1179
898,customer_1181
931,customer_1185
962,customer_1189
975,customer_119
1022,customer_1199
1115,customer_1217
1119,customer_1219
1129,customer_1222
1150,customer_123
1229,customer_1246
1270,customer_1251
1301,customer_1254
1302,customer_1255
1311,customer_1256
1345,customer_1267
1438,customer_1299
1489,customer_1307
1503,customer_1312
1558,customer_1331
1609,customer_1353
1655,customer_1359
1685,customer_1367
1694,customer_1370
1748,customer_1388
1787,customer_1400
1813,customer_1406
1821,customer_1409
1866,customer_1418
1867,customer_1419
1902,customer_1423
2070,customer_145
2097,customer_1458
2185,customer_1475
2201,customer_1479
2234,customer_1487
2266,customer_1495
2354,customer_1513
2366,customer_1516
2410,customer_1531
2500,customer_1546
2520,customer_1549
2554,customer_1556
2676,customer_159
2796,customer_1610
2830,customer_1620
3041,customer_1676
3066,customer_168
3078,customer_1685
3100,customer_1687
3103,customer_1688
3136,customer_1694
3156,customer_1699
3221,customer_1713
3235,customer_1717
3263,customer_1727
3265,customer_1729
3335,customer_1743
3380,customer_1747
3391,customer_1749
3415,customer_1754
3453,customer_1763
3567,customer_1779
3571,customer_1780
3572,customer_1781
3645,customer_1795
3651,customer_1798
3687,customer_1804
3693,customer_1806
3717,customer_181
3738,customer_1814
3747,customer_1821
3784,customer_1830
3791,customer_1832
3901,customer_1854
3914,customer_1856
3915,customer_1857
3973,customer_1864
4197,customer_1911
4222,customer_1917
4249,customer_1922
4268,customer_1924
4283,customer_1930
4342,customer_1946
4490,customer_1970
4517,customer_1978
4553,customer_1980
4555,customer_1982
4561,customer_1987
4562,customer_1988
4627,customer_2
4654,customer_2006
4659,customer_2009
4838,customer_2044
4874,customer_2052
4893,customer_2062
4912,customer_2067
4948,customer_2073
5017,customer_2086
5020,customer_2089
5033,customer_2091
5053,customer_2097
5187,customer_2112
5219,customer_2119
5241,customer_2122
5273,customer_2124
5338,customer_2134
5355,customer_2137
5367,customer_2140
5496,customer_2177
5511,customer_2179
5533,customer_2182
5567,customer_2186
5619,customer_2192
5622,customer_2193
5633,customer_2194
5690,customer_2205
5727,customer_2210
5815,customer_2236
5863,customer_2247
5867,customer_225
5872,customer_2251
5907,customer_2255
5908,customer_2255
5974,customer_2265
6021,customer_2278
6048,customer_2289
6049,customer_229
6160,customer_2304
6178,customer_2306
6179,customer_2306
6223,customer_2316
6227,customer_2317
6445,customer_2358
6481,customer_2368
6499,customer_2369
6601,customer_2392
6653,customer_2406
6673,customer_2412
6831,customer_2442
6832,customer_2443
6842,customer_2445
6861,customer_245
6874,customer_2451
6875,customer_2452
7018,customer_2490
7053,customer_2499
7073,customer_2500
7105,customer_251
7119,customer_2515
7273,customer_2542
7389,customer_2563
7414,customer_2570
7465,customer_2579
7493,customer_2588
7531,customer_260
7575,customer_2604
7585,customer_2606
7615,customer_2619
7651,customer_2622
7664,customer_2628
7678,customer_2631
7686,customer_2633
7738,customer_2651
7747,customer_2653
7958,customer_2698
7993,customer_2711
8049,customer_2719
8101,customer_273
8105,customer_2731
8112,customer_2736
8143,customer_2742
8164,customer_2750
8183,customer_2756
8245,customer_2768
8246,customer_2768
8276,customer_2774
8309,customer_2780
8321,customer_2784
8350,customer_2785
8351,customer_2785
8354,customer_2787
8365,customer_2790
8385,customer_2801
8398,customer_2806
8424,customer_2807
8435,customer_2813
8450,customer_2818
8494,customer_2838
8554,customer_2851
8656,customer_2876
8705,customer_2887
8775,customer_2909
8830,customer_2920
8838,customer_2921
8855,customer_2924
9009,customer_2963
9036,customer_2969
9041,customer_2970
9063,customer_2975
9073,customer_2979
9075,customer_2980
9086,customer_2982
9088,customer_2984
9178,customer_3
9179,customer_3
9221,customer_3006
9226,customer_3009
9234,customer_3011
9241,customer_3015
9246,customer_3017
9307,customer_3030
9316,customer_3034
9408,customer_3059
9437,customer_3064
9447,customer_3068
9452,customer_307
9510,customer_3079
9521,customer_3083
9554,customer_3094
9581,customer_3097
9599,customer_31
9612,customer_3102
9628,customer_3107
9692,customer_3125
9730,customer_3132
9749,customer_3139
9765,customer_3144
9788,customer_3148
9798,customer_315
9831,customer_3156
9853,customer_3160
9937,customer_3182
9992,customer_3191
10013,customer_3198
10048,customer_3202
10062,customer_3205
10082,customer_3208
10115,customer_321
10139,customer_3216
10194,customer_3228
10234,customer_3232
10323,customer_3241
10348,customer_3248
10349,customer_3248
10357,customer_325
10408,customer_3266
10566,customer_3290
10587,customer_3293
10689,customer_3326
10705,customer_3332
10745,customer_334
10760,customer_3343
10767,customer_3346
10955,customer_3384
11001,customer_3394
11141,customer_3412
11219,customer_3426
11297,customer_3432
11313,customer_3436
11318,customer_344
11338,customer_3443
11353,customer_3448
11430,customer_3467
11501,customer_3474
11600,customer_3494
11618,customer_3499
11649,customer_3503
11706,customer_3512
11882,customer_3552
11936,customer_3566
12013,customer_3577
12031,customer_358
12043,customer_3581
12175,customer_3606
12192,customer_3608
12260,customer_3621
12282,customer_3625
12331,customer_3645
12379,customer_366
12387,customer_3660
12396,customer_3662
12404,customer_3664
12411,customer_3667
12417,customer_3669
12507,customer_368
12532,customer_3685
12544,customer_369
12608,customer_3703
12694,customer_3717
12696,customer_3718
12828,customer_3745
12923,customer_3763
12971,customer_3778
12982,customer_3781
12998,customer_3783
13033,customer_3795
13147,customer_3815
13183,customer_383
13185,customer_3830
13212,customer_3835
13228,customer_3839
13249,customer_3843
13279,customer_3847
13285,customer_3849
13328,customer_3860
13403,customer_389
13448,customer_3903
13587,customer_3934
13589,customer_3936
13602,customer_3943
13629,customer_3951
13686,customer_3959
13728,customer_3970
13755,customer_3985
13809,customer_3995
13839,customer_400
13853,customer_407
13867,customer_411
13905,customer_419
13922,customer_423
13960,customer_437
14036,customer_450
14047,customer_452
14050,customer_453
14096,customer_470
14112,customer_472
14276,customer_505
14374,customer_527
14467,customer_548
14662,customer_596
14790,customer_62
14817,customer_626
14874,customer_637
14875,customer_637
14908,customer_647
14919,customer_650
14982,customer_662
14996,customer_664
15045,customer_668
15054,customer_67
15119,customer_685
15127,customer_687
15164,customer_694
15182,customer_700
15219,customer_708
15280,customer_72
15334,customer_724
15439,customer_752
15518,customer_775
15601,customer_786
15654,customer_798
15672,customer_804
15687,customer_809
15712,customer_817
15744,customer_822
15794,customer_832
16059,customer_885
16060,customer_885
16126,customer_889
16213,customer_910
16231,customer_92
16242,customer_922
16268,customer_923
16315,customer_929
16344,customer_934
16374,customer_94
16396,customer_940
16400,customer_943
16421,customer_95
16430,customer_952
16473,customer_960
16477,customer_963
16523,customer_973
16627,customer_995
16653,customer_997
