,customer_id
67,customer_1016
198,customer_1039
215,customer_1046
259,customer_1055
262,customer_1057
272,customer_1060
282,customer_1064
294,customer_1067
316,customer_107
363,customer_108
369,customer_1082
390,customer_1089
406,customer_1095
420,customer_1098
429,customer_1099
433,customer_110
477,customer_1106
484,customer_1109
541,customer_1121
660,customer_1139
662,customer_1140
712,customer_1151
755,customer_1164
813,customer_1171
896,customer_1180
911,customer_1184
938,customer_1188
976,customer_1190
1004,customer_1196
1005,customer_1197
1036,customer_1204
1132,customer_1225
1146,customer_1226
1147,customer_1227
1151,customer_1230
1152,customer_1231
1209,customer_1241
1228,customer_1245
1244,customer_1248
1273,customer_1252
1340,customer_1266
1371,customer_1276
1378,customer_1278
1408,customer_1287
1414,customer_1289
1421,customer_1292
1481,customer_1305
1519,customer_1316
1530,customer_1319
1533,customer_1321
1555,customer_133
1559,customer_1332
1582,customer_1346
1591,customer_1347
1604,customer_1352
1614,customer_1354
1622,customer_1355
1687,customer_1369
1710,customer_1373
1728,customer_1383
1735,customer_1384
1743,customer_1385
1744,customer_1386
1777,customer_1397
1791,customer_1402
1831,customer_1411
1837,customer_1412
1850,customer_1415
1871,customer_142
1904,customer_1424
1905,customer_1425
1906,customer_1426
1987,customer_1433
2054,customer_1448
2099,customer_1459
2105,customer_146
2127,customer_1465
2138,customer_1468
2142,customer_1469
2167,customer_1473
2229,customer_1484
2250,customer_1494
2268,customer_1497
2315,customer_1502
2316,customer_1502
2355,customer_1513
2368,customer_1518
2372,customer_1519
2416,customer_1533
2424,customer_1535
2432,customer_1537
2437,customer_154
2461,customer_1543
2519,customer_1548
2572,customer_1566
2622,customer_1577
2661,customer_1584
2665,customer_1586
2731,customer_1600
2732,customer_1601
2765,customer_1605
2785,customer_1608
2812,customer_1614
2814,customer_1615
2824,customer_162
2863,customer_1626
2864,customer_1627
2869,customer_1630
2879,customer_1634
2889,customer_1638
2904,customer_1644
2936,customer_1653
2943,customer_1655
2948,customer_1659
2992,customer_1661
3029,customer_1673
3042,customer_1677
3065,customer_1679
3068,customer_1681
3077,customer_1684
3198,customer_1704
3200,customer_1706
3257,customer_1722
3329,customer_1740
3393,customer_175
3394,customer_1750
3422,customer_1756
3435,customer_1759
3443,customer_176
3518,customer_1770
3520,customer_1771
3592,customer_179
3618,customer_1792
3666,customer_180
3688,customer_1805
3697,customer_1809
3773,customer_1829
3793,customer_1834
3817,customer_184
3822,customer_1842
3834,customer_1843
3853,customer_1844
3879,customer_1849
4017,customer_1875
4018,customer_1876
4031,customer_188
4099,customer_1893
4156,customer_190
4194,customer_1910
4220,customer_1915
4224,customer_1918
4271,customer_1926
4289,customer_1934
4345,customer_1948
4352,customer_195
4409,customer_1958
4415,customer_1960
4453,customer_1964
4467,customer_1967
4472,customer_1968
4530,customer_1979
4556,customer_1983
4568,customer_1991
4569,customer_1992
4572,customer_1995
4588,customer_1996
4660,customer_201
4739,customer_2027
4770,customer_2036
4771,customer_2037
