customer_id,transaction_id,date_transaction,amount_transaction,category,merchant_account_age,address,email_domain,due_month
customer_1,transaction_1,2021-11-10,3480,Fashion,,KANAGAWA KEN,gmail.com,2021-12-01
customer_1,transaction_2,2021-09-15,4685,Fashion,,KANAGAWA KEN,gmail.com,2021-10-01
customer_1,transaction_3,2021-09-05,4284,Fashion,,KANAGAWA KEN,gmail.com,2021-10-01
customer_1,transaction_4,2021-09-05,1000,Fashion,,KANAGAWA KEN,gmail.com,2021-10-01
customer_1,transaction_5,2021-06-23,16814,Fashion,,KANAGAWA KEN,gmail.com,2021-07-01
customer_1,transaction_6,2021-01-05,4831,Fashion,,KANAGAWA KEN,gmail.com,2021-02-01
customer_1,transaction_7,2021-01-05,3680,Fashion,,KANAGAWA KEN,gmail.com,2021-02-01
customer_2,transaction_8,2021-12-13,1680,Fashion,,OSAKA FU,gmail.com,2022-01-01
customer_2,transaction_9,2021-12-04,1401,Fashion,,OSAKA FU,gmail.com,2022-01-01
customer_2,transaction_10,2021-12-04,3440,Fashion,,OSAKA FU,gmail.com,2022-01-01
customer_2,transaction_11,2021-12-04,2000,Fashion,,OSAKA FU,gmail.com,2022-01-01
customer_2,transaction_12,2021-12-04,4744,Fashion,,OSAKA FU,gmail.com,2022-01-01
customer_2,transaction_13,2021-12-06,2264,Fashion,,OSAKA FU,gmail.com,2022-01-01
customer_2,transaction_14,2021-11-03,2050,Fashion,,OSAKA FU,gmail.com,2021-12-01
customer_2,transaction_15,2021-11-01,6796,Fashion,,OSAKA FU,gmail.com,2021-12-01
customer_2,transaction_16,2021-11-01,4399,Fashion,,OSAKA FU,gmail.com,2021-12-01
customer_2,transaction_17,2021-11-22,1934,Fashion,,OSAKA FU,gmail.com,2021-12-01
customer_2,transaction_18,2021-11-21,1887,Fashion,,OSAKA FU,gmail.com,2021-12-01
customer_2,transaction_19,2021-11-17,474,Fashion,,OSAKA FU,gmail.com,2021-12-01
customer_2,transaction_20,2021-11-17,2008,Fashion,,OSAKA FU,gmail.com,2021-12-01
customer_2,transaction_21,2021-11-17,1087,Fashion,,OSAKA FU,gmail.com,2021-12-01
customer_2,transaction_22,2021-10-03,3522,Fashion,,OSAKA FU,gmail.com,2021-11-01
customer_2,transaction_23,2021-10-03,572,Fashion,,OSAKA FU,gmail.com,2021-11-01
customer_2,transaction_24,2021-10-26,1455,Fashion,,OSAKA FU,gmail.com,2021-11-01
customer_2,transaction_25,2021-10-10,4180,Fashion,,OSAKA FU,gmail.com,2021-11-01
customer_2,transaction_26,2021-10-03,1017,Other,,OSAKA FU,gmail.com,2021-11-01
customer_2,transaction_27,2021-09-01,853,Fashion,,OSAKA FU,gmail.com,2021-10-01
customer_2,transaction_28,2021-09-01,8560,Fashion,,OSAKA FU,gmail.com,2021-10-01
customer_2,transaction_29,2021-09-01,6540,Fashion,,OSAKA FU,gmail.com,2021-10-01
customer_2,transaction_30,2021-08-05,1540,Other,,OSAKA FU,gmail.com,2021-09-01
